"count","slice_num","gene","coord_x","coord_y"
13,29,"Slc17a7",3.17066138049768,4.7906198113579
4,29,"Slc17a7",6.87420152360453,5.01151850562794
2,29,"Pvalb",7.18779237039119,5.06563288083653
11,29,"Slc17a7",7.18779237039119,5.06563288083653
1,29,"Vip",7.18779237039119,5.06563288083653
1,29,"Tac2",7.59639754461919,4.92222905095948
15,29,"Slc17a7",7.59639754461919,4.92222905095948
14,29,"Slc17a7",3.91285569026795,5.07314941540553
16,29,"Slc17a7",3.45437169949949,4.93766148132119
2,29,"Slc17a7",3.79222116451013,4.92749024762708
8,29,"Slc17a7",3.2316546534006,4.81578657347298
6,29,"Slc17a7",7.66061956042708,4.89351413244404
6,29,"Slc17a7",7.13936057877201,5.06416824100461
1,29,"Pvalb",6.96351540944339,5.04434099041911
1,29,"Tac2",6.96351540944339,5.04434099041911
21,29,"Slc17a7",6.96351540944339,5.04434099041911
12,29,"Slc17a7",4.10324629400394,5.04683282626466
1,29,"Tac2",7.43382395783091,5.0019608932408
18,29,"Slc17a7",7.43382395783091,5.0019608932408
4,29,"Vip",7.43382395783091,5.0019608932408
16,29,"Slc17a7",4.08542462792782,5.05152994757968
1,29,"Vip",4.08542462792782,5.05152994757968
1,29,"Pvalb",3.89969642036331,4.9880262286336
16,29,"Slc17a7",3.89969642036331,4.9880262286336
13,29,"Slc17a7",3.40663172051441,4.9021737165806
1,29,"Slc17a7",7.38828473309965,4.90998972264238
9,29,"Vip",7.38828473309965,4.90998972264238
3,29,"Slc17a7",4.14799912199343,5.0317045236403
24,29,"Slc17a7",7.16125964249027,4.97208147903788
1,29,"Tac2",7.23328531669847,5.0389861830153
41,29,"Slc17a7",7.23328531669847,5.0389861830153
2,29,"Pvalb",3.65759660333308,4.87497173378562
5,29,"Slc17a7",3.65759660333308,4.87497173378562
18,29,"Slc17a7",3.97387132523678,5.01266095015877
6,29,"Slc17a7",3.21199515861099,4.80602065951899
1,29,"Slc17a7",7.20952664191302,5.04848939239986
15,29,"Slc17a7",3.34664185360989,4.86928086034929
2,29,"Pvalb",7.12331854802458,4.99550336362691
22,29,"Slc17a7",7.12331854802458,4.99550336362691
1,29,"Pvalb",6.82352356255941,5.02154698378404
32,29,"Slc17a7",6.82352356255941,5.02154698378404
1,29,"Tac2",3.21634499763898,4.81517789065095
17,29,"Slc17a7",3.21634499763898,4.81517789065095
1,29,"Tac2",7.36022820511615,5.03067857700976
20,29,"Slc17a7",7.36022820511615,5.03067857700976
3,29,"Vip",7.36022820511615,5.03067857700976
26,29,"Slc17a7",6.90860923201185,5.03472935583776
13,29,"Slc17a7",4.16920041615388,5.01128301159255
6,29,"Slc17a7",6.86352538708232,5.02098076973632
3,29,"Tac2",7.08019833240079,4.99539770742848
30,29,"Slc17a7",7.08019833240079,4.99539770742848
1,29,"Pvalb",3.49455586816828,4.9455227555969
3,29,"Slc17a7",3.49455586816828,4.9455227555969
2,29,"Pvalb",4.20234613243318,5.00755860749978
3,29,"Slc17a7",4.20234613243318,5.00755860749978
4,29,"Tac2",4.14014096009724,5.01458321260948
11,29,"Slc17a7",4.14014096009724,5.01458321260948
1,29,"Pvalb",3.77574705720719,4.92419191815181
5,29,"Slc17a7",3.77574705720719,4.92419191815181
2,29,"Tac2",4.15125977164145,5.00956151619049
38,29,"Slc17a7",4.15125977164145,5.00956151619049
3,29,"Slc17a7",4.13942608361035,5.02979093131924
19,29,"Slc17a7",3.70479250806898,4.89330164980187
3,29,"Tac2",7.48220189905733,4.97994099347982
40,29,"Slc17a7",7.48220189905733,4.97994099347982
23,29,"Slc17a7",3.9390272832387,5.09143818944978
2,29,"Pvalb",4.0456107566045,5.02666280529529
13,29,"Slc17a7",4.0456107566045,5.02666280529529
8,29,"Slc17a7",6.95304908386021,4.9957140179942
10,29,"Slc17a7",7.14053686378441,5.07216800590316
21,29,"Slc17a7",1.7248694952912,2.91956384589669
49,29,"Slc17a7",9.5758515960013,4.83724744905821
25,29,"Slc17a7",1.54508986938582,4.32864651189412
1,29,"Tac2",1.7396666118264,3.25466164739595
7,29,"Pvalb",7.1659696314402,3.08893998133648
5,29,"Slc17a7",3.38723947774869,1.14972344047196
8,29,"Slc17a7",7.09421881285785,1.59512644657597
1,29,"Pvalb",6.53720563517137,4.86142032415685
3,29,"Slc17a7",6.53720563517137,4.86142032415685
4,29,"Slc17a7",3.32349083305603,5.16669781003824
5,29,"Slc17a7",6.82867187520423,5.25825937063997
1,29,"Tac2",7.1547267624798,4.80701887492871
